title,amazon_rating,isbn10,amazon_price_usd,first_name,last_name,amazon_ratings_count
Student's Encyclopedia of General Knowledge (General Press),4.1,9380914199,1.9649999999999999,Azeem,Ahmad Khan   ,189
A Complete Resource for CTET: Child Development and Pedagogy,3.9,9332541302,1.875,Sandeep,Kumar    ,67
The Jungle Book (First Stories),4.4,1509808361,3.36,Miriam,Bos    ,71
Jane Eyre,4.3,8193387619,1.3199999999999998,Charlotte,Bronte    ,183
Metamorphosis,4.2,8172345135,1.035,Franz,Kafka    ,198
Three Men in a Boat,4.3,8172344430,1.4849999999999999,Jerome,K. Jerome   ,201
Macbeth,4.3,8175994193,1.4849999999999999,William,Shakespeare    ,89
The Greatest Short Stories of Leo Tolstoy,4.5,8184950314,2.835,Leo,Tolstoy    ,173
Mrs. Dalloway,4.2,8175994215,1.4849999999999999,Virginia,Woolf    ,33
Alice’s Adventures in Wonderland,4.0,8175992980,1.335,Lewis,Carroll    ,119
The Origin of Species,4.3,8172344880,2.835,Charles,Darwin    ,214
Goodnight Moon,3.9,1509829466,1.605,Margaret,Wise Brown   ,190
The Power of Your Subconscious Mind: Unlock Your Master Key to Success,4.5,8172345666,1.125,Joseph,Murphy    ,5009
Suppandi - 3: The Laughter Never Ends,4.7,9350853736,1.14,Rajani,Thindiath    ,59
Tantri the Mantri - 4,4.0,9350853701,1.14,Rajani,Thindiath    ,7
Bāhubali: Battle of the Bold,3.7,9386224658,1.425,Graphic,India    ,55
Geronimo Stilton #64: The Magical Mission,4.4,9386106256,4.08,Geronimo,Stilton    ,91
Objective Computer Awareness,4.0,9311121266,1.17,Arihant,Experts    ,171
A Handbook on Computer Science & IT - Illustrated Formulae & Key Theory Concepts,4.0,9383643242,3.705,Made,Easy Editorial Board  ,180
Handbook of Computer Science & IT,3.9,9350944308,2.85,Surbhi,Mitra    ,193
CCC (Course on Computer Concepts) Study Guide,4.3,9311124559,2.205,Arihant,Experts    ,44
Computer Knowledge for SBI/IBPS Clerk/PO/RRB/RBI/SSC... Exams,3.5,9386320177,1.395,Shikha,Agarwal    ,46
19 years GATE Computer Science & Information Technology Chapter-wise & Topic-wise...,3.8,9388026764,2.625,Disha,Experts    ,5
Computer System Architecture 3e (Update) by Pearson,4.3,9332585601,6.6899999999999995,Mano,M Morris   ,102
CBSE Computer Science Chapterwise Solved Papers  Class 12 for 2018-2019,4.4,9313161486,3.48,Arihant,Expert    ,27
CBSE All  In One Computer Science CBSE Class 12 for 2018 - 19,4.2,9312149091,3.48,K.,Ganesh Ayyer   ,19
CCC (Course on Computer Concepts),3.8,9311124567,1.41,Arihant,Experts    ,41
Oswaal ICSE Question Bank Class 10 Computer Application Chapterwise and Topicwise...,3.7,9387504743,1.125,Oswaal,Editorial Board   ,11
Super Speed Computer Course,3.9,8173158762,3.75,Shashank,Johari    ,12
Comdex Hardware and Networking Course Kit: Revised & Upgraded,4.0,9351192652,5.685,Vikas,Gupta    ,16
Object-Oriented Programming with C++,4.5,9352607996,5.5649999999999995,E,Balagurusamy    ,73
Programming and Problem Solving with Python,4.8,9387067572,7.785,Ashok,Namdev Kamthane   ,6
Oswaal CBSE Question Bank Class 10 Social Science Chapterwise and Topicwise (...,4.7,9387504921,4.8,Oswaal,Editorial Board   ,167
Olympiad Champs Cyber Class 1 with Past Olympiad Questions,5.0,9388240278,1.3499999999999999,Disha,Experts    ,1
Electronics and Communication Engineering GATE 2019,4.1,9312148222,10.035,Ankit,Goel    ,14
Brain Games for Clever Kids (Buster Brain Games),4.6,1780552491,2.82,Gareth,Moore    ,37
The Power of Your Subconscious Mind: Unlock Your Master Key to Success,4.5,8172345666,1.125,Joseph,Murphy    ,5009
Murder in a Minute,4.4,9386643723,2.82,Shouvik,Bhattacharya    ,277
The Perfect Murder,3.8,8129144972,2.925,Ruskin,Bond    ,56
Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic...,4.8,1408711702,6.51,J.K.,Rowling    ,52
3 and a Half Murders: An Inspector Saralkar Mystery,4.4,8175994258,2.835,Salil,Desai    ,69
I Am Watching You,4.0,1542046599,4.035,Teresa,Driscoll    ,46
Born a Crime: Stories from a South African Childhood,4.8,1473635306,5.819999999999999,Trevor,Noah    ,143
Tell Me your Dreams,4.4,8172234902,3.135,Sidney,Sheldon    ,160
The Other Side of Midnight,4.3,8172234937,3.135,Sidney,Sheldon    ,53
Nothing Lasts Forever,4.2,8172234856,3.9899999999999998,Sidney,Sheldon    ,84
Bloodline,4.3,8172234864,4.2,Sidney,Sheldon    ,67
Harry Potter and the Goblet of Fire (Harry Potter 4),4.7,1408855682,7.859999999999999,J.K.,Rowling    ,322
Peaks and Valleys,4.4,1847396488,1.635,Spencer,Johnson    ,28
Attitude Is Everything (Pentagon Press),4.3,8182747252,2.4899999999999998,Jeff,Keller    ,40
The Power of Your Subconscious Mind: Unlock Your Master Key to Success,4.5,8172345666,1.125,Joseph,Murphy    ,5009
Miracles of Your Mind,4.2,8183225101,1.08,Dr.,Joseph Murphy   ,218
Dork Diaries Frenemies Forever,4.6,1471158039,2.73,Rachel,Renee Russell   ,70
Dork Diaries: Holiday Heartbreak,4.8,1471144771,3.81,Rachel,Renee Russell   ,45
Dork Diaries,4.6,1471168018,3.03,Rachel,Renee Russell   ,49
Dork Diaries: TV Star,4.8,1471143953,4.62,Rachel,Renee Russell   ,37
Marketing 4.0: Moving from Traditional to Digital,4.2,8126566930,4.47,Philip,Kotler    ,50
"Understanding Exposure, Fourth Edition",4.5,1607748509,9.495,BRYAN,PETERSON    ,48
The Digital Photography Handbook: An Illustrated Step-by-step Guide,4.0,1786481324,6.555,Doug,Harman    ,1
"Big Data: A Revolution That Will Transform How We Live, Work and Think",3.8,1848547927,3.8249999999999997,Viktor,Mayer-Schonberger    ,57
Photography: The Definitive Visual History,5.0,1409346455,0.015,Tom,Ang    ,2
Stretch Your Technology Email,4.1,9385152459,1.155,Ankit,Fadia    ,14
Digital Photography for Beginners: Photography Essentials Basics Lessons Course...,1.0,1681858711,5.234999999999999,Angela,Pierce    ,5
Valley of Genius,5.0,1538714493,7.6499999999999995,Adam,Fisher    ,2
IIMA - Day to Day Economics,4.4,8184001630,2.5949999999999998,Satish,Y. Deodhar   ,314
