last_name,first_name,isbn10,title,flipkart_price_usd,flipkart_rating,flipkart_ratings_count
Allan,Pease,8186775447, Questions Are The Answers (Marathi),1,4.3,30
Business,Harvard,1422157970, Hbr'S 10 Must Reads On Leadership,8,4.7,30
Robert,Kiyosaki,8183221459, Retire Young Retire Rich,4,4.5,125
Donald,Trump,8183220908, Hum Aapko Ameer Kyon Banana Chahte Hain?,6,4.2,43
Rashmi,Bansal,9381626707, Connect The Dots,2,4.3,992
Pillai,Radhakrishnan,8184953070, Corporate Chanakya On Leadership (With Cd),3,4.3,68
Prateeksha,Tiwari,8128824287, Corporate Guru Dhirubhai Ambani,1,4.6,44
Expert,Arihant,9313161443, Cbse Chapterwise Solved Paper Business Studies Class 12,1,4.5,172
Ruskin,Bond,8129118920, Great Stories For Children,1,4.4,2909
Ruskin,Bond,8129137003, The Essential Collection For Young Readers,1,4.4,191
,unknown,8184511590, Lovely Board Books - Gift Pack,6,4.2,233
J.K.,Rowling,1408711702, Fantastic Beasts: The Crimes Of Grindelwald - The Original Screenplay,6,4.8,245
Pai,Roopa,9351952967, The Vedas And Upanishads For Children,3,4.9,8
Brown,Wise,1509829466, Goodnight Moon,2,4,34
Books,OM,8187107588, 365 Pancharantra Stories,5,4.4,242
Ruskin,Bond,8129124548, The Blue Umbrella,1,4.5,571
Chetan,Bhagat,8129142147, One Indian Girl,1,4.2,37246
,,1409300498, Baby Touch: Peekaboo,4,4.4,356
,Osho,1250006201, The Book Of Children,4,4.5,31
Board,Editorial,9350571099, Children'S Encyclopedia - The World Of Knowledge,14,4.2,99
Azeem,Khan,9380914199, Student'S Encyclopedia Of General Knowledge,1,4.4,859
Sandeep,Kumar,9332541302, A Complete Resource For Ctet: Child Development And Pedagogy - Central Teacher Eligibility Test - Common For Paper I And Ii,2,4.2,616
Miriam,Bos,1509808361, The Jungle Book,2,4.8,5
F.,Fitzgerald,8172344562, The Great Gatsby,2,4.4,654
Orwell,George,8192910903,1984,1,4.5,339
